"文件夹","名称","经度","纬度","海拔","文本显示风格","图标样式","显示级别","叠放层次","图标颜色及不透明度","图标比例","对象ID","附件ID与名称","所属区域","Comment"
"/道路节点","道路节点169","113.54089558","26.02628319","0","1","5","1-0","0","0X00000000","0.0","649102097","","无",""
"/道路节点","道路节点170","113.54714664","26.02605438","0","1","5","1-0","0","0X00000000","0.0","566412440","","无",""
"/道路节点","道路节点171","113.54620505","26.02941212","0","1","5","1-0","0","0X00000000","0.0","345761533","","无",""
"/道路节点","道路节点172","113.55064278","26.02615068","0","1","5","1-0","0","0X00000000","0.0","856408194","","无",""
"/道路节点","道路节点173","113.55057718","26.02170428","0","1","5","1-0","0","0X00000000","0.0","1061367728","","无",""
"/道路节点","道路节点174","113.55664407","26.02726942","0","1","5","1-0","0","0X00000000","0.0","1830678369","","无",""
"/道路节点","道路节点175","113.55986984","26.02974477","0","1","5","1-0","0","0X00000000","0.0","236062309","","无",""
"/道路节点","道路节点176","113.55748428","26.02622173","0","1","5","1-0","0","0X00000000","0.0","1626906026","","无",""
"/道路节点","道路节点177","113.55991308","26.02656115","0","1","5","1-0","0","0X00000000","0.0","747399073","","无",""
"/道路节点","道路节点178","113.56309354","26.01441469","0","1","5","1-0","0","0X00000000","0.0","1817938273","","无",""
"/道路节点","道路节点179","113.56181717","26.01309044","0","1","5","1-0","0","0X00000000","0.0","1292966137","","无",""
"/道路节点","道路节点180","113.56885872","26.00740521","0","1","5","1-0","0","0X00000000","0.0","1927388090","","无",""
"/道路节点","道路节点181","113.56823802","26.01566812","0","1","5","1-0","0","0X00000000","0.0","1955591435","","无",""
"/道路节点","道路节点182","113.57000393","25.99971831","0","1","5","1-0","0","0X00000000","0.0","1999310759","","无",""
"/道路节点","道路节点183","113.55268307","25.99831064","0","1","5","1-0","0","0X00000000","0.0","1988529232","","无",""
"/道路节点","道路节点184","113.55092940","26.00416943","0","1","5","1-0","0","0X00000000","0.0","710809949","","无",""
"/道路节点","道路节点185","113.55230664","25.99807589","0","1","5","1-0","0","0X00000000","0.0","63569082","","无",""
"/道路节点","道路节点186","113.55464069","25.99596939","0","1","5","1-0","0","0X00000000","0.0","691542728","","无",""
"/道路节点","道路节点187","113.53686748","26.00043714","0","1","5","1-0","0","0X00000000","0.0","422862593","","无",""
"/道路节点","道路节点188","113.53644508","26.00058325","0","1","5","1-0","0","0X00000000","0.0","1280100314","","无",""
"/道路节点","道路节点189","113.53666028","26.00100355","0","1","5","1-0","0","0X00000000","0.0","2038003584","","无",""
"/道路节点","道路节点190","113.53714043","26.00204359","0","1","5","1-0","0","0X00000000","0.0","445912871","","无",""
"/道路节点","道路节点191","113.53487670","26.00430480","0","1","5","1-0","0","0X00000000","0.0","652893469","","无",""
"/道路节点","道路节点192","113.54050305","26.00476898","0","1","5","1-0","0","0X00000000","0.0","246234702","","无",""
"/道路节点","道路节点193","113.54259160","26.00814630","0","1","5","1-0","0","0X00000000","0.0","539187304","","无",""
"/道路节点","道路节点194","113.54108509","26.00974216","0","1","5","1-0","0","0X00000000","0.0","571989345","","无",""
"/道路节点","道路节点195","113.54404240","26.01317071","0","1","5","1-0","0","0X00000000","0.0","1201789391","","无",""
"/道路节点","道路节点196","113.55165609","26.01374889","0","1","5","1-0","0","0X00000000","0.0","1537064665","","无",""
"/道路节点","道路节点197","113.57692033","26.00415293","0","1","5","1-0","0","0X00000000","0.0","1703197630","","无",""
"/道路节点","道路节点198","113.57985500","26.01004009","0","1","5","1-0","0","0X00000000","0.0","954450602","","无",""
"/道路节点","道路节点199","113.57995571","26.01013786","0","1","5","1-0","0","0X00000000","0.0","1911530698","","无",""
"/道路节点","道路节点200","113.58111316","26.01011705","0","1","5","1-0","0","0X00000000","0.0","1029603414","","无",""
"/道路节点","道路节点201","113.57839511","26.01281656","0","1","5","1-0","0","0X00000000","0.0","758806337","","无",""
"/道路节点","道路节点202","113.57818017","26.01384880","0","1","5","1-0","0","0X00000000","0.0","645293552","","无",""
"/道路节点","道路节点203","113.58530387","26.02191758","0","1","5","1-0","0","0X00000000","0.0","802474083","","无",""
"/道路节点","道路节点204","113.58467825","26.02235863","0","1","5","1-0","0","0X00000000","0.0","1972729021","","无",""
"/道路节点","道路节点205","113.59738975","26.03195701","0","1","5","1-0","0","0X00000000","0.0","359202613","","无",""
"/道路节点","道路节点206","113.59983650","26.03636080","0","1","5","1-0","0","0X00000000","0.0","1346998454","","无",""
